Month,Monthly Retention,Quarterly Retention,Annual Retention,Monthly Price,Quarterly Price,Annual Price
1,1.0,1.0,1.0,300,500,1200
2,0.9,1.0,1.0,300,500,1200
3,0.81,1.0,1.0,300,500,1200
4,0.7290000000000001,0.7,1.0,300,500,1200
5,0.6561,0.7,1.0,300,500,1200
6,0.5904900000000001,0.7,1.0,300,500,1200
7,0.531441,0.48999999999999994,1.0,300,500,1200
8,0.4782969000000001,0.48999999999999994,1.0,300,500,1200
9,0.4304672100000001,0.48999999999999994,1.0,300,500,1200
10,0.3874204890000001,0.3429999999999999,1.0,300,500,1200
11,0.3486784401000001,0.3429999999999999,1.0,300,500,1200
12,0.31381059609000006,0.3429999999999999,1.0,300,500,1200
13,0.2824295364810001,0.24009999999999995,0.2,300,500,1200
14,0.2541865828329001,0.24009999999999995,0.2,300,500,1200
15,0.2287679245496101,0.24009999999999995,0.2,300,500,1200
16,0.20589113209464907,0.16806999999999994,0.2,300,500,1200
17,0.18530201888518416,0.16806999999999994,0.2,300,500,1200
18,0.16677181699666577,0.16806999999999994,0.2,300,500,1200
19,0.15009463529699918,0.11764899999999996,0.2,300,500,1200
20,0.13508517176729928,0.11764899999999996,0.2,300,500,1200
21,0.12157665459056935,0.11764899999999996,0.2,300,500,1200
22,0.10941898913151242,0.08235429999999996,0.2,300,500,1200
23,0.09847709021836118,0.08235429999999996,0.2,300,500,1200
24,0.08862938119652507,0.08235429999999996,0.2,300,500,1200
